--------------------------------------------------------------------------------
Process Logger 2019-04-25 23:38:16.030481
--------------------------------------------------------------------------------
{'vms': 1170.1328125, 'username': 'dell', 'pid': 8173, 'name': 'evince'}
{'vms': 0.0, 'username': 'root', 'pid': 8254, 'name': 'kworker/6:2'}
{'vms': 832.078125, 'username': 'dell', 'pid': 8302, 'name': 'gedit'}
{'vms': 643.69140625, 'username': 'dell', 'pid': 8391, 'name': 'gnome-terminal-server'}
{'vms': 22.40625, 'username': 'dell', 'pid': 8398, 'name': 'bash'}
{'vms': 0.0, 'username': 'root', 'pid': 8485, 'name': 'kworker/3:0'}
{'vms': 0.0, 'username': 'root', 'pid': 8507, 'name': 'kworker/2:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8520, 'name': 'kworker/7:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8521, 'name': 'kworker/5:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8522, 'name': 'kworker/0:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8525, 'name': 'kworker/4:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8540, 'name': 'kworker/1:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8571, 'name': 'kworker/6:3'}
{'vms': 0.0, 'username': 'root', 'pid': 8616, 'name': 'kworker/3:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8629, 'name': 'kworker/2:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8638, 'name': 'kworker/7:1'}
{'vms': 0.0, 'username': 'root', 'pid': 8643, 'name': 'kworker/4:0'}
{'vms': 0.0, 'username': 'root', 'pid': 8644, 'name': 'kworker/1:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8645, 'name': 'kworker/5:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8646, 'name': 'kworker/0:0'}
{'vms': 0.0, 'username': 'root', 'pid': 8660, 'name': 'kworker/u16:3'}
{'vms': 65.328125, 'username': 'dell', 'pid': 8684, 'name': 'python3'}
