--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 2229, 'username': 'dell', 'vms': 685.6796875, 'name': 'tracker-miner-apps'}
{'pid': 2239, 'username': 'dell', 'vms': 1286.1640625, 'name': 'compiz'}
{'pid': 2268, 'username': 'root', 'vms': 517.4609375, 'name': 'fwupd'}
{'pid': 2272, 'username': 'dell', 'vms': 842.890625, 'name': 'evolution-calendar-factory'}
{'pid': 2284, 'username': 'dell', 'vms': 796.8828125, 'name': 'evolution-calendar-factory-subprocess'}
{'pid': 2293, 'username': 'dell', 'vms': 278.76171875, 'name': 'gvfs-udisks2-volume-monitor'}
{'pid': 2296, 'username': 'dell', 'vms': 674.39453125, 'name': 'evolution-addressbook-factory'}
{'pid': 2298, 'username': 'dell', 'vms': 1037.62890625, 'name': 'evolution-calendar-factory-subprocess'}
{'pid': 2310, 'username': 'root', 'vms': 358.61328125, 'name': 'udisksd'}
{'pid': 2320, 'username': 'dell', 'vms': 251.4921875, 'name': 'gvfs-goa-volume-monitor'}
{'pid': 2327, 'username': 'dell', 'vms': 394.1484375, 'name': 'gvfs-afc-volume-monitor'}
{'pid': 2333, 'username': 'dell', 'vms': 265.4765625, 'name': 'gvfs-gphoto2-volume-monitor'}
{'pid': 2338, 'username': 'dell', 'vms': 253.4375, 'name': 'gvfs-mtp-volume-monitor'}
{'pid': 2347, 'username': 'dell', 'vms': 748.125, 'name': 'evolution-addressbook-factory-subprocess'}
{'pid': 2401, 'username': 'dell', 'vms': 342.6015625, 'name': 'gvfsd-trash'}
{'pid': 2428, 'username': 'dell', 'vms': 182.46875, 'name': 'gvfsd-metadata'}
{'pid': 2431, 'username': 'dell', 'vms': 602.72265625, 'name': 'zeitgeist-datahub'}
{'pid': 2438, 'username': 'dell', 'vms': 4.3984375, 'name': 'sh'}
{'pid': 2442, 'username': 'dell', 'vms': 400.64453125, 'name': 'zeitgeist-daemon'}
{'pid': 2449, 'username': 'dell', 'vms': 309.80859375, 'name': 'zeitgeist-fts'}
{'pid': 2483, 'username': 'dell', 'vms': 2312.23828125, 'name': 'firefox'}
{'pid': 2583, 'username': 'dell', 'vms': 2560.87109375, 'name': 'Web Content'}
{'pid': 2636, 'username': 'dell', 'vms': 1610.73046875, 'name': 'Web Content'}
{'pid': 2686, 'username': 'dell', 'vms': 1528.11328125, 'name': 'WebExtensions'}
{'pid': 2977, 'username': 'dell', 'vms': 511.734375, 'name': 'update-notifier'}
{'pid': 3301, 'username': 'dell', 'vms': 425.265625, 'name': 'deja-dup-monitor'}
{'pid': 3387, 'username': 'dell', 'vms': 1008.82421875, 'name': 'gvfsd-network'}
{'pid': 3410, 'username': 'dell', 'vms': 353.23828125, 'name': 'gvfsd-dnssd'}
{'pid': 3473, 'username': 'dell', 'vms': 1332.2734375, 'name': 'evince'}
{'pid': 3480, 'username': 'dell', 'vms': 174.3125, 'name': 'evinced'}
{'pid': 3548, 'username': 'dell', 'vms': 482.44140625, 'name': 'notify-osd'}
{'pid': 4152, 'username': 'dell', 'vms': 1668.86328125, 'name': 'Web Content'}
{'pid': 5707, 'username': 'dell', 'vms': 1478.85546875, 'name': 'Web Content'}
{'pid': 6364, 'username': 'root', 'vms': 0.0, 'name': 'kworker/0:2'}
{'pid': 6500, 'username': 'root', 'vms': 0.0, 'name': 'kworker/7:0'}
{'pid': 6530, 'username': 'root', 'vms': 0.0, 'name': 'kworker/3:2'}
{'pid': 6679, 'username': 'root', 'vms': 0.0, 'name': 'irq/130-mei_me'}
{'pid': 6788, 'username': 'root', 'vms': 0.0, 'name': 'kworker/5:0'}
{'pid': 6789, 'username': 'root', 'vms': 15.74609375, 'name': 'dhclient'}
{'pid': 7199, 'username': 'www-data', 'vms': 245.69140625, 'name': 'apache2'}
{'pid': 7200, 'username': 'www-data', 'vms': 245.69140625, 'name': 'apache2'}
{'pid': 7201, 'username': 'www-data', 'vms': 245.69140625, 'name': 'apache2'}
{'pid': 7202, 'username': 'www-data', 'vms': 245.69140625, 'name': 'apache2'}
{'pid': 7203, 'username': 'www-data', 'vms': 245.69140625, 'name': 'apache2'}
{'pid': 7229, 'username': 'root', 'vms': 0.0, 'name': 'kworker/1:0'}
{'pid': 7233, 'username': 'root', 'vms': 91.046875, 'name': 'cupsd'}
{'pid': 7234, 'username': 'root', 'vms': 268.37109375, 'name': 'cups-browsed'}
{'pid': 7235, 'username': 'lp', 'vms': 79.33984375, 'name': 'dbus'}
{'pid': 7331, 'username': 'root', 'vms': 0.0, 'name': 'kworker/4:1'}
{'pid': 7360, 'username': 'dell', 'vms': 3913.12890625, 'name': 'spotify'}
{'pid': 7481, 'username': 'dell', 'vms': 487.00390625, 'name': 'spotify'}
{'pid': 7495, 'username': 'dell', 'vms': 902.3828125, 'name': 'spotify'}
{'pid': 7511, 'username': 'dell', 'vms': 2158.48828125, 'name': 'spotify'}
{'pid': 7619, 'username': 'root', 'vms': 0.0, 'name': 'kworker/u16:1'}
{'pid': 7952, 'username': 'root', 'vms': 0.0, 'name': 'kworker/u16:0'}
{'pid': 8060, 'username': 'root', 'vms': 0.0, 'name': 'kworker/u16:2'}
